                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2587,                 3.1993,                 1.6637,                0.53129,                0.33103,                0.35362,                0.25906,                 1.0943,                 2.9661,                 1.6439,             2.8706e-05,             2.8706e-05,             2.8706e-05
                     85,                 1.2537,                 3.1986,                 1.6424,                0.52825,                0.33324,                 0.3482,                0.25679,                 1.0961,                 2.9627,                 1.6386,             2.7112e-05,             2.7112e-05,             2.7112e-05
                     86,                 1.3032,                 3.1854,                 1.6446,                0.49197,                0.36189,                0.35061,                0.25433,                 1.0885,                 2.9447,                 1.6339,             2.5519e-05,             2.5519e-05,             2.5519e-05
                     87,                 1.2878,                  3.211,                 1.6342,                 0.4589,                0.35001,                0.35641,                0.26072,                 1.0878,                 2.9399,                 1.6309,             2.3925e-05,             2.3925e-05,             2.3925e-05
                     88,                 1.2779,                 3.1377,                 1.5982,                 0.4803,                0.37429,                0.35606,                0.25794,                 1.1078,                 2.9426,                 1.6403,             2.2331e-05,             2.2331e-05,             2.2331e-05
                     89,                 1.2769,                 3.2118,                 1.6587,                0.46409,                0.37799,                0.35817,                0.26159,                 1.0996,                 2.9426,                 1.6344,             2.0737e-05,             2.0737e-05,             2.0737e-05
                     90,                 1.2916,                 3.1905,                 1.6157,                0.40167,                0.38011,                0.35313,                0.25722,                 1.1007,                 2.9356,                 1.6355,             1.9143e-05,             1.9143e-05,             1.9143e-05
                     91,                 1.2339,                 3.9009,                 1.7352,                0.32279,                0.38784,                0.34665,                0.25127,                 1.0929,                 2.9528,                  1.628,             1.7549e-05,             1.7549e-05,             1.7549e-05
                     92,                 1.2098,                 3.7475,                 1.6778,                0.37775,                0.34278,                0.34522,                0.24042,                 1.1378,                 2.9908,                 1.6467,             1.5955e-05,             1.5955e-05,             1.5955e-05
                     93,                 1.1829,                  3.519,                 1.6849,                0.35502,                0.39668,                0.35669,                0.25047,                 1.1258,                 2.9808,                 1.6375,             1.4361e-05,             1.4361e-05,             1.4361e-05
                     94,                  1.154,                  3.545,                 1.6924,                0.34317,                0.42024,                0.35705,                0.25598,                 1.0939,                 2.9646,                 1.6091,             1.2767e-05,             1.2767e-05,             1.2767e-05
                     95,                 1.1695,                 3.5415,                 1.6519,                0.35697,                0.41325,                0.36268,                0.26745,                 1.0848,                 2.9461,                 1.6037,             1.1173e-05,             1.1173e-05,             1.1173e-05
                     96,                 1.1457,                 3.5136,                 1.6718,                0.37568,                0.41071,                0.35601,                0.26222,                 1.0813,                 2.9265,                 1.6047,             9.5795e-06,             9.5795e-06,             9.5795e-06
                     97,                 1.1399,                 3.4413,                 1.6893,                0.38749,                0.39293,                0.35648,                0.26121,                 1.0728,                 2.9148,                 1.6022,             7.9856e-06,             7.9856e-06,             7.9856e-06
                     98,                 1.2178,                  3.613,                 1.7711,                0.35598,                0.39632,                0.36394,                0.26659,                 1.0687,                 2.9028,                 1.6001,             6.3917e-06,             6.3917e-06,             6.3917e-06
                     99,                 1.1751,                 3.5507,                 1.6558,                0.38367,                0.40331,                0.37213,                0.27349,                  1.064,                 2.9024,                 1.5939,             4.7978e-06,             4.7978e-06,             4.7978e-06
                    100,                 1.1409,                 3.4437,                 1.7288,                0.35237,                0.41458,                0.37223,                0.27235,                 1.0631,                 2.9017,                 1.5929,             3.2039e-06,             3.2039e-06,             3.2039e-06
